id;policies_category;first_name;middle_name;last_name;address;city;pincode;phone_number;email_id;application_gen_key
1;37454;Peyton;Fish multi-byte Savings Account;Kilback;Small;Port Estella;60111;14286;deposit Tasty Metal Bacon Implementation;77
2;18182;Zachary;Money Market Account;Monahan;Grocery Home;Leopoldbury;13949;4666;Coordinator;23277
3;45606;Aubree;Savings Account syndicate Planner;Konopelski;HDD;Cecileview;6505;1326;Usability South Dakota envisioneer;1596
4;9767;Dariana;Monitored Bahamian Dollar Investment Account;Sipes;Salad;East Chloe;66252;75536;convergence;20794
5;54671;Kenyatta;Industrial;Spinka;Views e-enable Communications;Theodoraborough;8849;57044;Aruba;96117
6;32533;Rosalinda;compress South Georgia and the South Sandwich Islands;McGlynn;Specialist Home Loan Account;North Elenor;80219;16526;Industrial;42340
7;77224;Godfrey;24 hour;Ankunding;magenta monitor 1080p;Aprilside;35846;65107;Internal;85003
8;62329;Isobel;Ergonomic;Hills;Lempira;Montestad;63755;27472;Mississippi embrace Developer;84891
9;76078;Mireille;Robust Networked;Bauch;system Small;North Collin;3142;89576;Harbor Montana;69551
10;90756;Broderick;Investment Account;Lind;white Brand Money Market Account;Carolinehaven;92969;62435;modular Refined Squares;21844
